Time,ISP_IN_MB,LAN_OUT_MB,ISP_SPEED_Mbps,Delta_ISP_IN_MB,Delta_LAN_OUT_MB,Delta_Time_hr
2025-10-05 13:11:00,3118.84,3313.46,762.94,,,
2025-10-06 10:27:00,3763.39,3313.46,762.94,644.55,0.0,21.27
2025-10-06 11:50:14,3783.47,4021.02,762.94,20.08,707.56,1.39
2025-10-06 17:09:56,3819.19,4090.02,762.94,35.72,69.0,5.33
